# de-reddened line ratios for NGC 2392, F(Hβ) ≡ 100
# name             λ_rest    F_obs(cgs)   F/F(Hβ)_obs  F/F(Hβ)_dered
  [O II] 3727     3727.40    7.309e-12      117.13        137.64
  Hδ              4101.70    7.851e-13       12.58         14.11
  Hγ              4340.50    1.915e-12       30.68         33.18
  He II 4686      4685.70    2.388e-12       38.26         39.22
  Hβ              4861.30    6.241e-12      100.00        100.00
  [O III] 4959    4958.90    2.131e-11      341.46        337.09
  [O III] 5007    5006.80    6.543e-11     1048.46       1028.84
  He I 5876       5875.60    7.944e-13       12.73         11.50
  [O I] 6300      6300.30    5.722e-14        0.92          0.80
  [N II] 6548     6548.10    2.190e-12       35.08         30.25
  Hα              6562.80    2.072e-11      332.00        286.00
  [N II] 6583     6583.50    6.655e-12      106.64         91.74
  He I 6678       6678.20    2.275e-13        3.65          3.12
  [S II] 6716     6716.40    4.266e-13        6.84          5.83
  [S II] 6731     6730.80    6.963e-13       11.16          9.51
